Id,Reproducibility,Category,Root Cause,Solving Procedure
189,always,User Interface,Placed Wrong Text,Replace Correct Text
190,always,Functional,“Consolidated View Trip” is not added in Permission List.,Added  “Consolidated View Trip”  in Permission List.
119,always,User Interface,,
191,always,Functional,Have not put any checking whether a supervisor has already assigned to any plant or not while uploading CSV.,Added checking whether a a supervisor is already assigned to any plant or not while importing CSV.
192,always,Functional,"Have not put the ""Balance Initiation"" coding while importing Plant CSV.","Implemented the ""Balance Initiation"" code while importing Plant CSV."
51,always,Functional,Text error in “Edit User” page. Validation error.,Added proper validation in “Edit User” page. Changed text as per requirement.
68,always,Functional,Missing proper validation while checking for duplicate Email Address while Editing User,Changed the validation code of duplicate Email Address while editing User.
32,always,Functional,No validation is added for creating duplicate State Name and State Code. Searching with respect to State Code is not added.,Added validation for checking duplicate State Name and State Code while creating State. Searching with respect to State Code  added.
33,always,Functional,No validation is added for creating duplicate City Name and City Code. All the states (with respect to active/inactive) are shown in State  drop down while adding City . No alphabatical order is added for State.,Added validation for checking duplicate City Name and City Code while creating City. Showing only ‘Active’ State in alphabatical order in dropdown while adding City. 
34,always,Functional,No validation is added for creating duplicate Category Name,Added validation for checking duplicate Category Name while creating Category
35,always,Functional,No validation is added for creating duplicate Subcategory Name.  All the categories (with respect to active/inactive) are shown in Category  drop down while adding Subcategory. Import functionality is not working due uploading wrong formatted CSV.,Added validation for checking duplicate Subcategory Name while creating Subcategory. Showing only ‘Active’ Category in alphabatical order in dropdown while adding Subcategory. A proper formatted CSV  is solving the import issue.
36,always,Functional,Import functionality is not working due uploading wrong formatted CSV., A proper formatted CSV  is solving the import issue.
37,always,Functional,No validation is added for creating duplicate Plant  Name. Missing proper validation through out the module under the mentioned condition.,Added validation for checking duplicate Plant Name while creating Plant. Adding proper validation as per mentioned in the bug.
84,always,Functional,No message is given while ‘Inactive’ user tried to login and failed.,Added proper failure message while ‘Inactive’ user tried to login and failed.
101,always,Functional,CSV import issue occurs due to putting wrong table field name in code,Added the proper table field name in code.
31,always,Functional,Link is not working because local server link is given.,Added Client’s server link to resolve the issue
